started_at;cloud_height;cloud_amount;wind_direction;wind_speed;temperature;temperature_dew;pressure;pressure_tendency;pressure_tendency_value;code
2017-09-01 00:00:00;5;8;0;0;14.4;13.5;989.4;7;1.3;0
2017-09-01 03:00:00;5;8;0;0;14.2;13.4;989.3;7;0.1;0
2017-09-01 06:00:00;5;8;0;0;15.2;13.2;989.7;3;0.4;0
2017-09-01 09:00:00;5;6;25;2;17.7;13.2;988.9;8;0.8;8
2017-09-01 12:00:00;5;7;25;4;16.5;13.4;989.1;3;0.2;8
2017-09-01 15:00:00;5;6;25;2;16.7;13.9;988.8;8;0.3;0
2017-09-01 18:00:00;5;7;26;2;14.8;12.1;989.4;3;0.6;0
2017-09-01 21:00:00;9;4;20;2;14.0;11.0;988.9;8;0.5;0
2017-09-02 00:00:00;9;6;23;2;12.5;10.6;988.4;7;0.5;0
2017-09-02 03:00:00;5;8;20;2;13.1;11.2;988.4;4;0;0
2017-09-02 06:00:00;4;8;20;4;13.5;12.2;988.6;3;0.2;0
2017-09-02 09:00:00;4;8;23;4;14.8;13.3;988.7;2;0.1;0
2017-09-02 12:00:00;6;5;23;4;19.6;12.7;988.1;8;0.6;0
2017-09-02 15:00:00;6;3;27;2;18.0;13.2;988.5;3;0.4;0
2017-09-02 18:00:00;9;0;27;2;15.8;13.1;989.9;2;1.4;0
2017-09-02 21:00:00;9;0;0;0;14.1;12.1;990.3;2;0.4;0
2017-09-03 00:00:00;9;2;0;0;12.3;11.0;990.5;2;0.2;0
2017-09-03 03:00:00;9;2;0;0;11.3;10.5;990.3;8;0.2;0
2017-09-03 06:00:00;9;0;0;0;17.7;13.4;990.6;3;0.3;0
2017-09-03 09:00:00;9;6;29;2;22.0;12.3;990.4;8;0.2;0
2017-09-03 12:00:00;6;6;32;2;24.6;13.1;990.0;7;0.4;0
2017-09-03 15:00:00;6;6;36;2;24.0;14.4;989.8;7;0.2;0
2017-09-03 18:00:00;9;0;0;0;19.7;15.3;990.3;3;0.5;0
2017-09-03 21:00:00;9;0;0;0;18.1;14.9;990.3;4;0;0
2017-09-04 00:00:00;9;0;0;0;16.7;13.7;990.5;3;0.2;0
2017-09-04 03:00:00;9;0;0;0;15.5;13.7;990.4;8;0.1;0
2017-09-04 06:00:00;9;0;11;2;19.9;14.4;991.2;3;0.8;0
2017-09-04 09:00:00;6;3;14;4;24.3;14.2;990.3;8;0.9;0
2017-09-04 12:00:00;6;3;14;4;27.2;14.4;989.8;7;0.5;0
2017-09-04 15:00:00;9;0;16;2;26.0;15.3;989.1;7;0.7;0
2017-09-04 18:00:00;9;5;14;2;22.2;14.8;989.3;3;0.2;0
2017-09-04 21:00:00;9;7;11;2;20.4;14.4;989.3;4;0;0
2017-09-05 00:00:00;9;7;14;2;19.3;14.5;988.8;8;0.5;0
2017-09-05 03:00:00;5;7;16;2;18.6;13.5;988.0;7;0.8;0
2017-09-05 06:00:00;5;7;20;2;18.7;14.2;987.8;7;0.2;0
2017-09-05 09:00:00;5;7;20;2;23.6;16.4;987.8;4;0;0
2017-09-05 12:00:00;5;6;25;2;26.5;16.9;987.2;8;0.6;0
2017-09-05 15:00:00;5;5;25;2;25.6;16.7;986.5;7;0.7;0
2017-09-05 18:00:00;9;6;27;2;21.6;14.0;986.7;3;0.2;0
2017-09-05 21:00:00;5;7;34;4;19.8;13.5;986.7;4;0;0
2017-09-06 00:00:00;5;8;34;2;17.6;12.8;986.5;8;0.2;0
2017-09-06 03:00:00;9;7;36;2;16.6;13.0;985.8;7;0.7;0
2017-09-06 06:00:00;9;7;34;2;18.8;13.3;985.9;3;0.1;0
2017-09-06 09:00:00;9;7;2;4;20.6;9.8;986.1;2;0.2;0
2017-09-06 12:00:00;5;8;36;2;19.5;11.5;985.2;8;0.9;0
2017-09-06 15:00:00;6;8;36;2;18.3;12.0;984.8;7;0.4;0
2017-09-06 18:00:00;9;4;0;0;15.1;11.4;985.3;3;0.5;0
2017-09-06 21:00:00;9;2;0;0;12.9;11.0;985.3;4;0;0
2017-09-07 00:00:00;9;6;0;0;14.3;12.6;985.0;8;0.3;0
2017-09-07 03:00:00;9;2;27;2;13.7;10.9;984.8;7;0.2;0
2017-09-07 06:00:00;9;0;27;4;17.3;10.6;985.9;3;1.1;0
2017-09-07 09:00:00;6;6;27;4;21.0;8.2;986.3;2;0.4;0
2017-09-07 12:00:00;6;3;27;4;22.0;7.6;987.4;2;1.1;0
2017-09-07 15:00:00;6;3;27;4;20.8;8.4;988.3;2;0.9;0
2017-09-07 18:00:00;9;0;0;0;17.3;10.6;990.1;2;1.8;0
2017-09-07 21:00:00;9;6;0;0;16.5;10.7;990.3;2;0.2;0
2017-09-08 00:00:00;9;0;0;0;16.0;11.2;990.4;2;0.1;0
2017-09-08 03:00:00;9;3;0;0;15.5;10.6;990.4;4;0;0
2017-09-08 06:00:00;9;6;25;2;19.9;14.4;991.0;3;0.6;0
2017-09-08 09:00:00;6;6;25;2;24.8;13.3;990.6;8;0.4;0
2017-09-08 12:00:00;6;7;27;6;25.0;14.9;990.1;7;0.5;8
2017-09-08 15:00:00;5;8;27;4;18.2;16.5;991.6;3;1.3;8
2017-09-08 18:00:00;5;6;32;2;17.7;16.0;991.8;2;0.2;0
2017-09-08 21:00:00;5;7;0;0;17.1;15.5;992.5;2;0.7;0
2017-09-09 00:00:00;5;5;0;0;15.7;14.3;993.0;2;0.5;0
2017-09-09 03:00:00;9;3;0;0;13.5;11.7;993.8;2;0.8;0
2017-09-09 06:00:00;9;0;27;2;18.3;11.1;994.7;2;0.9;0
2017-09-09 09:00:00;6;2;34;4;21.2;9.7;994.7;4;0;0
2017-09-09 12:00:00;6;2;32;4;23.8;9.5;994.0;8;0.7;0
2017-09-09 15:00:00;9;0;34;2;21.6;9.5;994.0;4;0;0
2017-09-09 18:00:00;9;4;0;0;17.1;10.7;994.4;3;0.4;0
2017-09-09 21:00:00;9;0;0;0;15.5;10.2;994.4;4;0;0
2017-09-10 00:00:00;9;0;0;0;13.2;8.6;994.3;8;0.1;0
2017-09-10 03:00:00;9;2;0;0;13.4;8.4;994.8;3;0.5;0
2017-09-10 06:00:00;9;2;9;2;17.9;8.6;995.3;2;0.5;0
2017-09-10 09:00:00;9;5;9;2;22.0;8.6;994.5;8;0.8;0
2017-09-10 12:00:00;9;7;9;2;23.2;7.3;993.7;7;0.8;0
2017-09-10 15:00:00;9;7;0;0;22.6;9.5;993.4;7;0.3;0
2017-09-10 18:00:00;9;0;0;0;18.3;11.0;993.7;3;0.3;0
2017-09-10 21:00:00;9;0;0;0;16.5;11.5;994.2;2;0.5;0
2017-09-11 00:00:00;9;0;0;0;15.1;9.7;994.7;2;0.5;0
2017-09-11 03:00:00;9;0;0;0;14.5;9.0;994.7;4;0;0
2017-09-11 06:00:00;9;0;9;2;19.3;9.8;995.0;3;0.3;0
2017-09-11 09:00:00;9;0;11;4;24.8;9.7;994.6;8;0.4;0
2017-09-11 12:00:00;9;0;9;4;27.6;11.9;993.6;7;1;0
2017-09-11 15:00:00;9;0;9;2;26.3;12.5;992.9;7;0.7;0
2017-09-11 18:00:00;9;0;0;0;22.0;13.9;993.3;3;0.4;0
2017-09-11 21:00:00;9;0;0;0;19.9;13.2;992.2;8;1.1;0
2017-09-12 00:00:00;9;0;0;0;18.4;12.5;991.5;7;0.7;0
2017-09-12 03:00:00;9;0;0;0;16.7;12.0;991.7;3;0.2;0
2017-09-12 06:00:00;9;0;14;2;20.8;14.1;991.3;8;0.4;0
2017-09-12 09:00:00;9;0;16;4;28.2;13.1;990.3;7;1;0
2017-09-12 12:00:00;9;0;16;6;31.8;12.5;989.1;7;1.2;0
2017-09-12 15:00:00;9;0;18;4;29.4;13.7;988.1;7;1;0
2017-09-12 18:00:00;9;0;18;2;25.6;12.9;988.4;3;0.3;0
2017-09-12 21:00:00;9;6;16;4;22.8;14.1;987.5;8;0.9;0
2017-09-13 00:00:00;9;5;18;2;19.7;12.6;987.4;7;0.1;0
2017-09-13 03:00:00;9;5;18;2;19.1;13.1;987.3;7;0.1;0
2017-09-13 06:00:00;9;6;18;2;22.1;15.8;987.3;4;0;0
2017-09-13 09:00:00;6;2;23;4;30.0;13.7;986.6;8;0.7;0
2017-09-13 12:00:00;5;6;23;6;31.3;12.9;985.7;7;0.9;0
